CompanyName,Sector,Category,Last Price,NAV,P/E,EPS,Paid up,Dir,Pub,Inst,Foreign,Govt
DSHGARME,Textile,A,167.2,20.01,388.84,0.43,75.35,58.06,37.2,5.36,0,0
DULAMIACOT,Textile,Z,55,-34.97,-42.97,-1.28,75.57,33.01,62.45,4.54,0,0
MONNOFABR,Textile,Z,25,0,0,0,0,0,0,0,0,0
TAMIJTEX,Textile,Z,81.3,0,0,0,0,0,0,0,0,0
SQUARETEXT,Textile,A,47,36.29,174.07,0.27,1972.52,61.83,12.77,22.39,3.11,0
ETL,Textile,A,10.9,13.52,54.5,0.2,1829.52,36.67,41.14,22.19,0,0
ENVOYTEX,Textile,A,34.1,40.57,20.92,1.63,1677.35,45.58,10.87,43.49,0.06,0
MITHUNKNIT,Textile,Z,13.4,19.75,-5.98,-2.24,324.91,17.2,67.27,15.39,0.14,0
HWAWELLTEX,Textile,A,43,30.52,18.61,2.31,560,50.83,39.06,10.05,0.06,0
UNIQUEHRL,Travel & Leisure,A,43.6,79.68,45.89,0.95,2944,52.23,14.84,32.07,0.86,0
SEAPEARL,Travel & Leisure,B,43,10.06,-477.78,-0.09,1207.5,46.83,23.64,29.53,0,0
PENINSULA,Travel & Leisure,A,22.4,30.87,448,0.05,1186.67,45.4,35.95,18.55,0.1,0
